Country	1999_TOTAL	2004_TOTAL	2009_TOTAL	2014_TOTAL	2019_TOTAL	2024_TOTAL	blank_col_8	2024 fuel breakdown_Nuclear	2024 fuel breakdown_Natural Gas	2024 fuel breakdown_Solid Fossil Fuels	2024 fuel breakdown_Lignite	2024 fuel breakdown_Oil & Petroleum excl. Biofuels	2024 fuel breakdown_Renewables & Biofuels	2024 fuel breakdown_Hydro	2024 fuel breakdown_Wind	2024 fuel breakdown_Solar Thermal	2024 fuel breakdown_Solar Photovoltaic	2024 fuel breakdown_Bioenergy	2024 fuel breakdown_Waste	2024 fuel breakdown_Batteries
EU-27 (2020 def.)	2543035.099	2862929.675	2796287.94	2808998.431	2854627.207	2777644.955	?	649545.843	437554.914	271891.735	165024.045	44588.526	1292159.024	354766.694	475618.535	4540.03	296888.859	?	19789.176	1040.335
Austria	60944.018	64154.047	69087.512	65438.872	74234.304	82406.732	?	0	7536.924	23.648	0	718.878	67778.709	45707.084	9257.422	0	8143.267	4683.261	755.105	4.269
Belgium	84514	84210.123	91184.317	72545.6	93644.295	77156.8	?	31254.6	14159.5	12.7	0	198.2	26537.9	545.7	13824.5	0	8562.1	3628.483	1213.7	155.5
Bulgaria	38248	41620.811	42963.39	47489.649	44276.591	38535.175	?	15777.075	2040.441	8758.02	8164.495	361.542	11369.751	2787.148	1377.086	0	5489.148	1716.369	22.596	28.338
Cyprus	3139	4201.807	5214.708	4349.922	5141.491	5763.191	?	0	0	0	0	4396.769	1366.422	0	202.649	0	1108.457	55.316	0	0
Czechia	64694.232	84334.903	82185.712	86147.804	87035.182	73900.393	?	29696.397	3772.025	26525.9	25161.546	73.451	12347.563	2662.82	716.81	0	3592.683	5378.914	152.98	9.155
Germany	556300	618069	596470	627806	606917	514009	?	0	90487	106333	78504	4547	289417	23825	138914	0	75379	52447.991	6160	220
Denmark	38920	40430	36383	32183.62	29516.955	35317.578	?	0	909.403	1750.661	0	223.475	31408.963	22.562	20552.836	0	3776.202	7335.198	1025.077	0
Estonia	8278	10304	8778.32	12445.714	7615.265	6367.833	?	0	77.284	0.052	0	26.103	3597.019	30.045	1166.079	0	1065.427	1337.312	95.288	0
Greece	49632	59345.781	61340.348	50473.29	48625.991	57924.399	?	0	21529.23	3269.523	3269.523	4894.99	27691.068	3581.68	12136.202	0	11258.411	714.775	53.69	0
Spain	208247	279974.38	294620	278749.282	273257	287914.758	?	54532.38	52329.097	2581.517	0	9123.644	160970.969	34414.726	62089.787	4540.03	53752.44	6218.202	840.265	8.266
Finland	69457.417	85845.372	72070.997	68093.524	68650.852	83152.987	?	32599	782	830	0	241	46673.256	14299.241	21046.257	0	939.941	10394.304	444.731	30
France	525806.227	574054.409	535925.135	572983.975	571316.327	570904.315	?	380451.093	18104.938	1020.566	0	5580.252	155682.569	71115.895	47499.378	0	25062.942	12011.735	2334.228	105.562
Croatia	12979.4	13989.7	13454.061	13552.842	12760.3	15360.4	?	0	3249.9	801.3	0	29.9	11128	6727	2576.6	0	820	1004.4	0	0
Hungary	37831.621	33707.385	35908.015	29402.943	34291	37987.362	?	16017	7126	2444	2391	65.2	11936.6	231	659	0	9200	1847.053	262.5	10.069
Ireland	22013.104	25579.873	28371.284	26170.667	31121.553	31492.654	?	0	15095.854	632.611	0	601.711	14512.163	766.112	11649.561	0	1093.092	1017.656	290.846	26.859
Italy	265667	303347.441	292640.98	279826.504	293852.993	271007.173	?	0	118553.746	3948.434	0	8575.928	134357.398	53130.8	22321.895	0	35993.103	17880.555	2318.301	180.133
Lithuania	13536	19274	15358	4397	3971.6	8091.9	?	0	843.5	0	0	140.2	6261	436.5	3448.2	0	1397.2	985.103	182.5	1.3
Luxembourg	1022.008	4132.15	3878.379	2964.981	1908.422	2742.34	?	0	65.288	0	0	0.001	1373.037	105.181	466.796	0	359.596	441.877	68.374	0
Latvia	4110.32	4689.24	5568.067	5139.411	6438.385	6321.62	?	0	1678.253	0	0	0.916	4642.451	3208.793	275.985	0	536.379	634.027	0	0
Malta	1854	2216	2168	2244.89	2059.829	2185.877	?	0	1841.979	0	0	7.892	336.006	0	0.033	0	326.676	9.297	0	0
Netherlands	86720.436	101213.681	113689.499	103357.364	121408.002	123843.947	?	3573.592	44290.586	7467.01	0	1356.217	62099.275	85.391	33509.406	0	21822.202	7146.322	1711.475	182.257
Poland	142128	154159.137	151721.643	159058.788	163988.501	172452.808	?	0	20456.963	93496.08	36320.024	2155.02	52674.16	2114.529	24945.223	0	17662.76	7951.648	594.522	69.107
Portugal	43287	45105.484	50207.048	52803.507	53154.17	51089.446	?	0	5634.081	0	0	1145.714	40353.204	14892.597	14418.962	0	7088.01	3751.734	254.754	0.631
Romania	50464	56499.053	58014.149	65674.622	59622.805	53376.025	?	10911.981	9154.497	7959.655	7959.655	573.315	24442.059	14192.604	6350.28	0	3422.688	476.487	0.005	0
Sweden	154860.316	151739.141	136734.684	153662.426	168439	172366.999	?	50665	105.697	13	0	331.371	119577.692	64615	40621	0	4163	10182.912	1203	0
Slovenia	13262	15271.241	16403.179	17437.741	16099.564	16992.689	?	5835.725	481.809	3498.058	3181.802	8.551	6869.994	5335.883	6.55	0	1268.145	259.416	10.993	4.52
Slovakia	28407	30567	26154.561	27401	28434	30070	?	18232	2883	526	72	357	7108	4826	5	0	694	1583	49	5
