@relation 'EU_Electricity_Heat_1999_2024_Country_5yr_Heat'

@attribute 'Country' string
@attribute '1999_TOTAL' numeric
@attribute '2004_TOTAL' numeric
@attribute '2009_TOTAL' numeric
@attribute '2014_TOTAL' numeric
@attribute '2019_TOTAL' numeric
@attribute '2024_TOTAL' numeric
@attribute 'blank_col_8' string
@attribute '2024 fuel breakdown_Nuclear' numeric
@attribute '2024 fuel breakdown_Natural Gas' numeric
@attribute '2024 fuel breakdown_Solid Fossil Fuels' numeric
@attribute '2024 fuel breakdown_Lignite' numeric
@attribute '2024 fuel breakdown_Oil & Petroleum excl. Biofuels' numeric
@attribute '2024 fuel breakdown_Renewables & Biofuels' numeric
@attribute '2024 fuel breakdown_Hydro' numeric
@attribute '2024 fuel breakdown_Wind' numeric
@attribute '2024 fuel breakdown_Solar Thermal' numeric
@attribute '2024 fuel breakdown_Solar Photovoltaic' numeric
@attribute '2024 fuel breakdown_Bioenergy' numeric
@attribute '2024 fuel breakdown_Waste' numeric
@attribute '2024 fuel breakdown_Batteries' numeric

@data
'EU-27 (2020 def.)',585209.722,708635.421,662952.722,632090.859,645600.383,561184.202,?,1152.759,180821.409,83698.848,18050.139,13524.413,195897.126,?,?,736.777,?,?,39437.953,?
'Austria',13366.944,15660.833,19492.049,21888.129,23316.429,22638.568,?,0,6924.539,0,0,756.239,12875.102,?,?,38.446,?,12555.042,1753.756,?
'Belgium',5004.722,9150.806,10358.833,10042.139,8464.722,3972.972,?,0,2363.278,0,0,4.75,1133.417,?,?,0,?,1113.069,471.528,?
'Bulgaria',15365.556,14096.389,16698.056,15049.722,10776.964,10063.866,?,124.524,5779.704,1497.585,498.648,27.218,1750.636,?,?,0,?,1750.636,77.861,?
'Cyprus',0,0,1.111,12.5,14.298,9.465,?,0,0,0,0,0,9.465,?,?,0,?,9.465,0,?
'Czechia',40916.944,40111.667,33761.111,33263.056,32330.651,26845.479,?,440.457,8302.921,12078.903,9994.207,256.327,3855.757,?,?,0,?,3832.324,523.456,?
'Germany',105430.833,136548.889,130411.944,121752.222,127202.222,114945.556,?,0,58921.667,16710.556,4193.333,1899.167,23475,?,?,38.611,?,23338.457,12278.056,?
'Denmark',34272.778,36205.556,36522.778,34147.894,36656.575,37648.443,?,0,2995.724,1284.901,0,312.615,25236.692,?,?,645.367,?,24070.923,4733.296,?
'Estonia',8101.111,7490.833,6868.333,6058.889,6099.495,7035.798,?,0,1153.14,0.003,0,179.911,4172.773,?,?,0,?,4200.292,246.96,?
'Greece',306.389,504.722,569.444,575.833,611.911,369.331,?,0,89.167,280.164,280.164,0,0,?,?,0,?,0,0,?
'Spain',0,0,0,0,0,666.667,?,0,138.889,0,0,3.611,503.056,?,?,0,?,503.197,0,?
'Finland',34529.722,51555,52361.389,51281.111,51465.278,49767.874,?,0,3840.556,1845.278,0,2446.944,27171.082,?,?,0,?,27202.941,2135.959,?
'France',6604.167,46722.222,41997.005,38300.568,49033.787,48374.409,?,0,16403.305,336.609,0,2129.52,21952.298,?,?,0,?,19786.465,5464.067,?
'Croatia',3621.944,3567.222,3221.667,2813.056,3661.556,3672.45,?,0,2614.128,0,0,25.544,1032.778,?,?,0,?,1032.778,0,?
'Hungary',20174.444,17367.222,14752.5,13324.444,13444.444,12002.556,?,103.056,8171.944,277.222,277.222,2.222,2269.139,?,?,0,?,1390.642,317.778,?
'Ireland',0,0,0,0,0,0,?,0,0,0,0,0,0,?,?,0,?,0,0,?
'Italy',0,52660,50227.778,57209.444,64278.104,24523.853,?,0,17368.095,0,0,299.307,4779.494,?,?,3.442,?,4552.986,1326.656,?
'Lithuania',14845.556,13764.444,13147.778,12027.778,11882.778,10276.389,?,0,1205.556,3.056,0,60.556,6991.111,?,?,0,?,6999.691,337.778,?
'Luxembourg',0.556,871.005,709.834,701.296,1120.374,1607.309,?,0,182.599,0,0,0.501,1332.062,?,?,0.014,?,1333.203,17.761,?
'Latvia',10053.056,8636.944,7307.778,7151.944,7947.826,7216.103,?,0,2310.779,1.711,0,106.221,4796.571,?,?,10.341,?,4803.614,0,?
'Malta',0,0,0,0.278,0.245,0,?,0,0,0,0,0,0,?,?,0,?,0,0,?
'Netherlands',49012.778,52056.389,42263.889,40876.944,31595.558,26529.886,?,0,13082.027,164.806,0,1771.124,5738.841,?,?,0,?,5875.906,1992.868,?
'Poland',103198.611,94355.556,85425,76913.056,79736.421,72113.438,?,0,12925.208,46733.781,844.673,1367.371,6869.175,?,?,0,?,6867.146,1138.675,?
'Portugal',1002.778,2996.944,4459.722,5950.556,5812.938,2531.323,?,0,2462.53,0,0,68.793,0,?,?,0,?,0,0,?
'Romania',59631.389,37622.778,26850.556,21659.167,17068.349,13350.036,?,0,10403.782,1373.924,1373.924,795.607,754.909,?,?,0,?,689.153,0.653,?
'Sweden',47757.5,52025.833,55753.056,55101.111,57663.056,58620,?,0,647.089,49.444,0,910.882,37139.968,?,?,0,?,32180.802,6499.385,?
'Slovenia',2462.5,2700,2525.833,2273.056,2539.896,2228.198,?,0,1027.868,622.572,237.69,19.054,519.189,?,?,0,?,508.686,39.516,?
'Slovakia',10552.222,14961.111,11725,9667.222,8689.444,6705.556,?,484.722,3969.444,438.333,350.278,149.722,1538.611,?,?,0.556,?,1467.778,81.944,?
