attribute	full_data_n27	cluster_0_n5	cluster_1_n3	cluster_2_n19
1999_TOTAL	21711.5741	38669.0556	62487.037	10810.8479
2004_TOTAL	26356.7543	59469.8334	74926.7593	9973.8379
2009_TOTAL	24718.9794	54455.0122	74229.2593	9076.295
2014_TOTAL	23631.1635	52916.2246	70333.7423	8550.4771
2019_TOTAL	24126.4193	55221.8296	73840.6177	8093.8063
2024_TOTAL	20878.3528	44261.892	70404.6663	6904.8456
2024_fuel_Nuclear	42.6948	0	0	60.6715
2024_fuel_Natural_Gas	6788.294	12723.8382	20854.8267	3005.2773
2024_fuel_Solid_Fossil_Fuels	3099.9573	9816.0948	6014.967	872.2881
2024_fuel_Lignite	668.5237	168.9346	1397.7777	684.8491
2024_fuel_Oil_Petroleum_excl_Biofuels	503.4521	1602.8532	1040.888	129.2777
2024_fuel_Renewables_Biofuels	7255.4491	13302.178	28617.22	2291.2935
2024_fuel_Hydro	0	0	0	0
2024_fuel_Wind	0	0	0	0
2024_fuel_Solar_Thermal	27.288	0.6884	227.9927	2.5977
2024_fuel_Solar_Photovoltaic	0	0	0	0
2024_fuel_Bioenergy	6891.3036	12857.0888	26530.0607	2220.5037
2024_fuel_Waste	1460.6649	2411.645	7836.9123	203.6311
2024_fuel_Batteries	0	0	0	0
