Fuel / Energy Source	1999	2004	2009	2014	2019	2024
Nuclear	0.33355851058979	0.324296474379868	0.295002523953238	0.289266807710794	0.268104309425507	0.233847685187684
Natural Gas	0.120249618308552	0.15655231105179	0.197063681145798	0.124664569098864	0.193382711636154	0.157527301396949
Solid Fossil Fuels	0.292454083819942	0.286668934681394	0.246998463970774	0.242369970551258	0.15602005435521	0.0978857051224533
Lignite	0.125209832976828	0.121980292792208	0.113783704263303	0.112305865506551	0.0845779706043417	0.0594114970320244
Oil & Petroleum excl. Biofuels	0.0729695001350825	0.0481865388467846	0.0320617958249321	0.0210606304891881	0.0177637457793626	0.0160526369360983
Renewables & Biofuels	0.148537336408977	0.149455797931886	0.197628529986079	0.28711602936456	0.333264221915615	0.465199492711983
Hydro	0.131169620164177	0.109447253537585	0.11469314959031	0.126194551797526	0.109100332343326	0.127722117026292
Wind	0.00520352196680397	0.0198123018861789	0.0418512022048774	0.0750031501174591	0.12413289627839	0.171230860209058
Solar Thermal	0	0	3.68345471604044e-05	0.00194190425306079	0.00199080285722226	0.00163448895505077
Solar Photovoltaic	3.38025220469047e-05	0.000240282884349927	0.00494976958631807	0.0313599028849013	0.04082078938863	0.106885100079322
Bioenergy	0	0	0	0	0	0
Waste	0.00406320030897851	0.00358571050125428	0.00560387246815505	0.00679216612919497	0.00744687605718598	0.00712444402384033
Batteries	0	0	0	0	0	0.000374538509008254
