Fuel / Energy Source	1999	2004	2009	2014	2019	2024
TOTAL	2543035.099	2862929.675	2796287.94	2808998.431	2854627.207	2777644.955
Nuclear	848251	928438	824912	812550.009	765337.856	649545.843
Natural Gas	305799	448198.257	551046.795	350182.579	552035.55	437554.914
Solid Fossil Fuels	743721	820713	690678.826	680816.867	445379.092	271891.735
Lignite	318413	349221	318172	315467	241438.576	165024.045
Oil & Petroleum excl. Biofuels	185564	137954.672	89654.013	59159.278	50708.872	44588.526
Renewables & Biofuels	377735.66	427881.439	552626.275	806508.476	951345.115	1292159.024
Hydro	333568.948	313339.79	320715.071	354480.298	311440.777	354766.694
Wind	13232.739	56721.227	117028.012	210683.731	354353.143	475618.535
Solar Thermal	0	0	103	5454.806	5683	4540.03
Solar Photovoltaic	85.961	687.913	13840.981	88089.918	116528.136	296888.859
Bioenergy	0	0	0	0	0	0
Waste	10332.861	10265.637	15670.041	19079.184	21258.055	19789.176
Batteries	0	0	0	0	0	1040.335
